label,adapter_dir,n_eval,asr,ftr,cda,silhouette_clean_vs_trigger,activation_L2_AUC,first_token_entropy_AUC,pca_components,mean_clean_entropy,mean_trigger_entropy
Plain-LoRA,./models/malicious_adapter,80,0.7875,0.0,1.0,-0.014150946401059628,0.49361111111111117,0.4952,10,0.8455371464496421,0.8593859055184293
SubLoRA,./models/sublora_adapter_seed0,80,0.7875,0.0,1.0,-0.013183880597352982,0.4861111111111111,0.5292,10,0.643950735737817,0.6101173114562698
