Detector,AUC,TPR@FPR=0.05,TPR@FPR=0.10
First-token Entropy (STRIP-style),0.49694444444444447,0.08333333333333333,0.1
Activation L2 from clean centroid,0.49416666666666664,0.05,0.11666666666666667
