Adapter,n,ASR,FTR,CDA
Benign (control),120,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]"
Malicious,120,"0.983 [0.958, 1.000]","0.008 [0.000, 0.025]","0.992 [0.975, 1.000]"
